x,y,z,qx,qy,qz,qw,nx,ny,nz
-0.0032795489452222062,-0.3,-0.020006245074085632,5.355381366155186e-05,3.279225324137664e-21,0.9999999985659945,-6.123233986956016e-17,0.0001071076271695108,1.3116901277740948e-20,0.9999999942639781
0.013023139123216664,-0.3,-0.020007890111534476,4.702740902064463e-05,2.8795982964662906e-21,0.9999999988942114,-6.123233988965765e-17,9.405481793728452e-05,1.1518393173128255e-20,0.9999999955768456
0.029325126006272646,-0.3,-0.020009290538747476,3.85532039520258e-05,2.360702890836174e-21,0.9999999992568253,-6.123233991186133e-17,7.710640784674806e-05,9.442811556327037e-21,0.9999999970273009
0.045626411698503684,-0.3,-0.02001038287320278,2.8131181426492504e-05,1.722538064509376e-21,0.9999999996043183,-6.123233993313915e-17,5.626236283072302e-05,6.890152255311197e-21,0.9999999984172733
0.06192699618798234,-0.3,-0.020011103639887645,1.576131639374e-05,9.651022835971198e-22,0.9999999998757905,-6.123233994976203e-17,3.152263278356459e-05,3.86040913390898e-21,0.9999999995031619
0.07822687945555339,-0.3,-0.020011389371037858,1.4435757903111687e-06,8.839352354655917e-23,0.9999999999989581,-6.123233995730385e-17,2.887151580619329e-06,3.5357409418586827e-22,0.9999999999958322
0.0945260614740951,-0.3,-0.020011176605877284,-1.4822081451016814e-05,-9.07590730284455e-22,0.999999999890153,-6.123233995064146e-17,-2.9644162898777305e-05,-3.630362920739035e-21,0.9999999995606118
0.11082454220778555,-0.3,-0.02001040189035866,-3.303570439041214e-05,-2.0228534819648195e-21,0.9999999994543212,-6.123233992395447e-17,-6.60714087447705e-05,-8.091413923443965e-21,0.9999999978172845
0.12712232161136414,-0.3,-0.020009001776904234,-5.319735006872545e-05,-3.2573982242392927e-21,0.999999998585021,-6.123233987072519e-17,-0.00010639469998690463,-1.302959287852057e-20,0.9999999943400839
0.14341939962938935,-0.3,-0.020006912824147738,-7.53070834937804e-05,-4.611228937689032e-21,0.9999999971644217,-6.123233978373856e-17,-0.0001506141665604825,-1.8444915698454122e-20,0.9999999886576864
0.15971577619551025,-0.3,-0.020004071596676526,-9.936497762524025e-05,-6.084350089804942e-21,0.9999999950633006,-6.1232339655082e-17,-0.00019872995426941045,-2.433740023907334e-20,0.9999999802532025
0.17601145123172693,-0.3,-0.020000414664775173,-0.00012537111335801955,-7.67676663397193e-21,0.9999999921410418,-6.123233947614526e-17,-0.00025074222474546647,-3.0707066294562176e-20,0.9999999685641678
0.19230642464765668,-0.3,-0.019995878604169293,-0.00015332557950426066,-9.388484008365292e-21,0.9999999882456333,-6.123233923762029e-17,-0.00030665115540403113,-3.755393559203843e-20,0.9999999529825334
0.2086006963397977,-0.3,-0.019990399995770763,-0.0001832284727738625,-1.1219508134758433e-20,0.9999999832136632,-6.123233892950098e-17,-0.00036645693939625526,-4.487803178569596e-20,0.9999999328546535
0.22489505071103974,-0.3,-0.01998392171950711,-0.0002129006802727113,-1.3036406831613497e-20,0.9999999773366498,-6.123233856963771e-17,-0.0004258013508953373,-5.2145626144659385e-20,0.9999999093466008
0.2412035402622392,-0.29999999999999993,-0.019976988076409324,-0.00020330798306463188,-1.2449023535060286e-20,0.9999999793329318,-6.12323386918747e-17,-0.00040661595772570385,-4.979609311110187e-20,0.999999917331728
0.2575313591503028,-0.29999999999999993,-0.0199712363107174,-0.00014002393430256646,-8.573993147382866e-21,0.9999999901966489,-6.123233935708554e-17,-0.00028004786585972535,-3.4295972253316e-20,0.9999999607865957
0.273878506600093,-0.29999999999999993,-0.019968424600597307,-2.305150455934233e-05,-1.41149756370646e-21,0.9999999997343141,-6.123233994109908e-17,-4.6103009106435734e-05,-5.64599025332578e-21,0.9999999989372563
0.29024497978139696,-0.29999999999999993,-0.01997031720241979,0.00014760326231191517,9.038093136699703e-21,0.9999999891066385,-6.123233929034165e-17,0.0002952065214080389,3.615237215297794e-20,0.9999999564265539
0.3066307732149657,-0.29999999999999993,-0.01997868434545147,0.00037193118034376503,2.277421647555444e-20,0.9999999308335962,-6.123233572214691e-17,0.0007438623092372456,9.109685960137515e-20,0.9999997233343942
0.32303587816512774,-0.29999999999999993,-0.01999530212130146,0.00064991982115269,3.9796111433853104e-20,0.9999997888020907,-6.123232702522548e-17,0.0012998393677819652,1.591844121159903e-19,0.9999991552084522
0.3394602820192123,-0.29999999999999993,-0.020021952366763934,0.000981553382254094,6.010281038848673e-20,0.9999995182763629,-6.123231046030214e-17,0.0019631058188332574,2.4041112574216924e-19,0.9999980731059156
0.35588998269083855,-0.29999999999999993,-0.020060271178133193,0.0013279643572796714,8.131436497621608e-20,0.9999991182549441,-6.123228596605465e-17,0.00265592637270733,3.2525717311070723e-19,0.9999964730213317
0.37205602018583916,-0.29999999999999993,-0.020099736550452302,0.0009419877418362594,5.768011364379092e-20,0.9999995563294487,-6.123231279038162e-17,0.0018839746478080774,2.307203522112924e-19,0.9999982253181885
0.38763180255294744,-0.29999999999999993,-0.020108612316640045,-0.0010836934673723263,-6.63570868037208e-20,0.9999994128040619,-6.123230400198636e-17,-0.0021673856620638486,-2.654281913564359e-19,0.9999976512169375
0.39823888176125105,-0.29999999999999993,-0.019968123754316502,-0.016906811048301402,-1.035243601704571e-18,0.9998570696555469,-6.122358799792589e-17,-0.03380878910394933,-4.1403825359199455e-18,0.9994283194803542
0.40239471684491807,-0.29999999999999993,-0.01972918065617771,-0.05061275115627345,-3.099137184978589e-18,0.9987183534011944,-6.11538617371244e-17,-0.10109576699179566,-1.238066074538492e-17,0.9948766988407863
0.4044976360386055,-0.29999999999999993,-0.019434087305889358,-0.08990442719917269,-5.5050584499321534e-18,0.9959503973441592,-6.098437331085295e-17,-0.17908069998403014,-2.1931060602451e-17,0.9838343879399774
0.406127454761466,-0.29999999999999993,-0.019072718222949814,-0.1303076672930413,-7.979043382739064e-18,0.9914736062269363,-6.071024891524503e-17,-0.258393225620103,-3.1644043667701895e-17,0.9660398236892921
0.40712717478165833,-0.29999999999999993,-0.018764168325382913,-0.1722013299696156,-1.0544290377810346e-17,0.985061775705816,-6.031763752902677e-17,-0.33925789575754545,-4.1547109612494447e-17,0.9406934039133912
0.40810801256854534,-0.29999999999999993,-0.018359874918141533,-0.21374595150480236,-1.308816476705308e-17,0.976889281451745,-5.981721658256187e-17,-0.41761225795749185,-5.1142751499234115e-17,0.9086253364306134
0.40934246471375263,-0.29999999999999993,-0.017726785066135814,-0.25403025449226196,-1.5554866902526808e-17,0.96719627263684,-5.922369097159785e-17,-0.4913942305638074,-6.017843715794432e-17,0.8709372596051933
0.4107441299963021,-0.29999999999999993,-0.016856921012179532,-0.29318172030601164,-1.795220276706359e-17,0.956056734131614,-5.854159096287766e-17,-0.5605967160457076,-6.865329739178935e-17,0.8280889577568151
0.41221722872365113,-0.29999999999999993,-0.01576954875371278,-0.3313721633362617,-2.029069295781434e-17,0.9435001268499363,-5.777272051709481e-17,-0.6252993562846014,-7.657708551828376e-17,0.7803849787316919
0.4136671930487786,-0.29999999999999993,-0.01450897948990773,-0.36879372243819,-2.2582102586478336e-17,0.9295112642083384,-5.691614972420756e-17,-0.6855958383512419,-8.396127489455946e-17,0.7279823805803666
0.41500918512608903,-0.29999999999999993,-0.013140465333840362,-0.4056383476602815,-2.4838185203679252e-17,0.9140336596140409,-5.596841977796383e-17,-0.7415342067834396,-9.081174927956109e-17,0.6709150618148731
0.41617487710082307,-0.29999999999999993,-0.011744645317744662,-0.4420797549186384,-2.7069577841447843e-17,0.8969757467685939,-5.4923923859648267e-17,-0.7930696365988452,-9.712301919617303e-17,0.6091309805821533
0.4171186560764171,-0.29999999999999993,-0.010409183309958547,-0.4782526913959677,-2.9284531385083933e-17,0.8782222743545699,-5.377560486141163e-17,-0.8400243327079219,-1.0287331102566477e-16,0.5425487263450266
0.4179095265483785,-0.29999999999999993,-0.009067169189883123,-0.5138165666631763,-3.1462190685647075e-17,0.857900073331659,-5.253122893969478e-17,-0.8816065404387203,-1.0796566278556505e-16,0.4719850716449313
0.41855504398830307,-0.29999999999999993,-0.00773467155422633,-0.5486974565634782,-3.359802919403788e-17,0.8360209932536202,-5.119152167040185e-17,-0.9174451852638686,-1.1235463095265473e-16,0.3978622023215396
0.41901032586920084,-0.29999999999999993,-0.006557769305481437,-0.5831419027400236,-3.570714323196335e-17,0.8123703104303756,-4.9743335019545064e-17,-0.9474543371077458,-1.1602969212772783e-16,0.3198910425374897
0.4192678272691723,-0.29999999999999993,-0.005682877809131542,-0.617333429599537,-3.780077042828654e-17,0.7867016185942887,-4.817158095477687e-17,-0.9713144165566381,-1.1895170912017658e-16,0.23779887339774708
0.41941508035073477,-0.29999999999999993,-0.004942259593712001,-0.6507275465695916,-3.984557035117303e-17,0.759311306471542,-4.649440805133845e-17,-0.9882095670855556,-1.2102076832181173e-16,0.15310732027104007
0.41950201242535473,-0.29999999999999993,-0.004159133575951712,-0.6828411765493299,-4.181196305935747e-17,0.7305668536203425,-4.473431794246528e-17,-0.9977222597481135,-1.2218573718385913e-16,0.06745585521745409
0.4197444607515099,-0.29999999999999993,0.0037020500882598284,-0.699779072926936,-4.2849110088513715e-17,0.7143593277150639,-4.374189320636541e-17,-0.9997874161703133,-1.2243864590407769e-16,0.020618498187036215
0.4199901499782624,-0.29999999999999993,0.01857540186000667,-0.702610383091305,-4.302247783502312e-17,0.711574767380273,-4.357138806131369e-17,-0.9999196398143197,-1.224548386303181e-16,0.012677299144579393
0.42013085097550484,-0.29999999999999993,0.03370915968820726,-0.7049204667860538,-4.3163929665149946e-17,0.7092863564923071,-4.343126330785962e-17,-0.9999809390070729,-1.2246234561633764e-16,0.00617427101226417
0.4201849448812296,-0.29999999999999993,0.04910205376869756,-0.7067151246243171,-4.327382076400963e-17,0.7074982209357391,-4.332177158357e-17,-0.9999993867601671,-1.2246460481451546e-16,0.0011074652544720987
0.4201719028006916,-0.29999999999999993,0.0647531936410165,0.7079990181040403,4.3352436566029096e-17,-0.7062134170091324,4.324310003275745e-17,-0.9999968116287299,-1.2246428945186827e-16,-0.0025252192725703617
0.4201122821500807,-0.29999999999999993,0.08066208465103297,0.7087754865296858,4.339998154463439e-17,-0.7054341285298061,4.3195382375666484e-17,-0.9999888353267167,-1.2246331263659533e-16,-0.004725380610785967
0.42002773225258766,-0.29999999999999993,0.09682861132417753,0.7090464179439313,4.341657130909659e-17,-0.7051618092330865,4.317870762791279e-17,-0.9999849098151636,-1.2246283190007947e-16,-0.005493645598240178
0.419941008930722,-0.29999999999999993,0.11325298806905171,0.7088121704556268,4.3402227787258595e-17,-0.7053972689300573,4.319312537612396e-17,-0.9999883384475707,-1.2246325178644975e-16,-0.0048293859720333005
0.4198759967874824,-0.29999999999999993,0.12993567725836774,0.7080715417747694,4.3356877360090137e-17,-0.7061407025010674,4.3238647553279787e-17,-0.9999962718596992,-1.224642233492267e-16,-0.00273061654259806
0.41985449036364103,-0.29999999999999993,0.1467485812875079,-0.7070746183683115,-4.329583340715445e-17,0.7071389425419213,-4.3299772126820406e-17,-0.9999999958624007,-1.2246467940802556e-16,9.096811861347007e-05
0.41987506682519243,-0.29999999999999993,0.1634444481449176,-0.7063064743850059,-4.324879815363247e-17,0.707906183220505,-4.334675206888057e-17,-0.9999974409316417,-1.2246436651924794e-16,0.0022623284836462035
0.41992579888048637,-0.29999999999999993,0.18001674585039867,-0.7057805821758283,-4.321659654309918e-17,0.7084304975250211,-4.337885706061921e-17,-0.9999929779486422,-1.2246381996146343e-16,0.00374753964709775
0.41999493921858294,-0.29999999999999993,0.19646530964864717,-0.7054977993650202,-4.319928108989368e-17,0.708712110162592,-4.3396100861379236e-17,-0.9999896682060967,-1.22463414634902e-16,0.004545710182227455
0.4200709887848395,-0.29999999999999993,0.2127901851689188,-0.705458395689055,-4.3196868310611416e-17,0.7087513329453601,-4.339850256414776e-17,-0.999989156564226,-1.224633519768441e-16,0.004656903903649194
0.42014271272605536,-0.29999999999999993,0.2289916007512125,-0.7056620597640482,-4.32093391384885e-17,0.7085485568467138,-4.3386086109140223e-17,-0.9999916681345917,-1.22463659555505e-16,0.004082114819121698
0.42019915433075633,-0.29999999999999993,0.2450699428509157,-0.7061079028818166,-4.3236639155843343e-17,0.7081042504376336,-4.33588801880542e-17,-0.9999960145964364,-1.2246419184356358e-16,0.0028232589756860883
0.42022727851274577,-0.29999999999999993,0.26091144584780657,-0.7070190126715162,-4.329242854022471e-17,0.7071945388088022,-4.3303176416334425e-17,-0.9999999691905752,-1.2246467614166898e-16,0.00024823144198895874
0.42019056491026446,-0.29999999999999993,0.2761461735066339,0.7091183024979124,4.342097296854365e-17,-0.7050895213109319,4.3174281269288623e-17,-0.9999837689221475,-1.2246269218098145e-16,-0.005697533875041596
0.4200429979214133,-0.29999999999999993,0.2907435942078916,0.7124532602803963,4.362518023722418e-17,-0.7017195678587237,4.296793113386249e-17,-0.999884787846997,-1.224505704952955e-16,-0.015179296168332357
0.4197449921065593,-0.29999999999999993,0.30469828194744814,0.717013043888224,4.390438645723071e-17,-0.6970597498738138,4.2682599574871036e-17,-0.9996018660579746,-1.22415922568962e-16,-0.028215410211712456
0.41926366229281203,-0.29999999999999993,0.31800228432694094,0.7227818963768802,4.425762679398001e-17,-0.6910762116220185,4.231621352648919e-17,-0.9989947495542254,-1.2234157224065938e-16,-0.0448273394603183
0.4185729852419669,-0.29999999999999993,0.33064635263970704,0.7297359947088257,4.468344250713867e-17,-0.6837290238291196,4.186632802582379e-17,-0.997883358630474,-1.2220546610692203e-16,-0.06502924394735858
0.41765395234098884,-0.29999999999999993,0.34262173573769744,0.7378395534039014,4.517964236802003e-17,-0.6749761428619022,4.133036864283276e-17,-0.9960481916150281,-1.2198072296578537e-16,-0.08881441313453772
0.4164945580413992,-0.29999999999999993,0.353922545247322,0.7470403781244118,4.574303039519447e-17,-0.6647786650094419,4.0705953212263184e-17,-0.9932330105553905,-1.2163596271841483e-16,-0.11613865309652843
0.4150710529850877,-0.29999999999999993,0.36469103989467994,0.7570046867430706,4.635316832797233e-17,-0.6534094460971814,4.0009789334777914e-17,-0.9892680261155203,-1.2115039216811923e-16,-0.14611219150194923
0.41331311473627547,-0.29999999999999993,0.37546990980082623,0.7666906068758269,4.694625988234116e-17,-0.6420167547100125,3.931218818272941e-17,-0.9844564305861367,-1.205611416617341e-16,-0.1756289733432474
0.41121631583678603,-0.29999999999999993,0.38629843622719134,0.7760152541280557,4.7517229852872165e-17,-0.6307141391792078,3.862010258613975e-17,-0.9788875859946217,-1.1987915489133928e-16,-0.20439934927886183
0.40878391227509897,-0.29999999999999993,0.3971612710394246,0.7849975286920381,4.806723554256436e-17,-0.619498894226126,3.7933366894467496e-17,-0.9726102019899184,-1.1911039706850142e-16,-0.2324422401052144
0.4060198218234651,-0.29999999999999993,0.4080428806939746,0.7936566497055925,4.85974537841983e-17,-0.608365944459496,3.725167032962891e-17,-0.9656673545494042,-1.1826014347900202e-16,-0.2597817552438111
0.4029285745106887,-0.29999999999999993,0.41892763785155124,0.8020118970400352,4.9109065129408786e-17,-0.5973080587153031,3.657457011053076e-17,-0.958096338575122,-1.173329614310822e-16,-0.2864461659875121
0.39951526200641835,-0.29999999999999993,0.4297998888554348,0.8100824044465071,4.9603241182550325e-17,-0.5863160393560504,3.590150304430703e-17,-0.9499286138542045,-1.1633270363750335e-16,-0.3124670039876687
0.39578899429293507,-0.29999999999999993,0.4406336040391193,0.8179045282857405,5.008220812866289e-17,-0.5753539628869174,3.523026945131043e-17,-0.9411692232247113,-1.1525998766781436e-16,-0.33793563478063926
0.3917672350274655,-0.29999999999999993,0.45137852420554775,0.8255527987515758,5.055052962591283e-17,-0.564324885569864,3.4554933239616523e-17,-0.9317599773747282,-1.141076873865571e-16,-0.3630748470531197
0.38745524281341664,-0.29999999999999993,0.4620206225135663,0.8330376530794976,5.1008844770651505e-17,-0.5532162945465385,3.387472821762889e-17,-0.9217000073087691,-1.1287569637247762e-16,-0.38790346289639516
0.38285741249372013,-0.29999999999999993,0.47254926873771524,0.8403635444006569,5.1457426238519464e-17,-0.5420231667026469,3.318934680830544e-17,-0.9109930190350088,-1.1156446848068073e-16,-0.4124217735152693
0.3779784081064486,-0.29999999999999993,0.4829539028142085,0.8475346444473142,5.1896529474444674e-17,-0.5307400742939662,3.249845665816671e-17,-0.8996412003213555,-1.1017427163546308e-16,-0.43662994707687053
0.3728231551650031,-0.29999999999999993,0.49322405320858326,0.854554793940147,5.232638965474136e-17,-0.5193612462957866,3.1801704393865764e-17,-0.8876452856175879,-1.0870519578098172e-16,-0.4605277916921745
0.3673968328612867,-0.29999999999999993,0.5033493549030257,0.8614274570713201,5.2747218900001817e-17,-0.507880631845357,3.109871950691759e-17,-0.8750046423726424,-1.071571634520731e-16,-0.48411452759272183
0.3617048660878673,-0.29999999999999993,0.5133195673073319,0.868155679734707,5.315920371743518e-17,-0.49629196622992877,3.0389118394301426e-17,-0.8617173785784362,-1.0552994294457299e-16,-0.5073885685112625
0.3557529171030005,-0.29999999999999993,0.5231245924038845,0.8747420512553926,5.356250265747533e-17,-0.4845888399101944,2.9672508584927436e-17,-0.8477804716770291,-1.038231641018907e-16,-0.5303473124689839
0.34954687660636813,-0.29999999999999993,0.5327544934017339,0.8811886694668298,5.395724417537341e-17,-0.4727647711106214,2.894849318451268e-17,-0.8331899192515175,-1.0203633676932127e-16,-0.5529869423934436
0.3430928539443963,-0.29999999999999993,0.5421995141275844,0.8874971090945585,5.434352469525902e-17,-0.46081328252210935,2.821667557226431e-17,-0.8179409121414921,-1.0016887199457448e-16,-0.5753022373023973
0.3363971661234631,-0.29999999999999993,0.5514500993228622,0.8936683935282524,5.472140688167658e-17,-0.4487279826449787,2.7476664381701113e-17,-0.8020280307630235,-9.822010607003917e-17,-0.5972863951827353
0.3294663252803221,-0.29999999999999993,0.560496915944668,0.8997029701955487,5.5090918131667274e-17,-0.4365026522500265,2.6728078794866254e-17,-0.7854454654551671,-9.618932751744734e-17,-0.618930869157385
0.32230702426435837,-0.29999999999999993,0.5693308754610178,0.9056006898729277,5.545204930792579e-17,-0.42413133638258493,2.59705541759511e-17,-0.7681872616495914,-9.407580711249424e-17,-0.6402252189966452
