waypoint,q1,q2,q3,q4,q5,q6
0,1.209863019483468,-0.5363886538832302,2.0562325089895426,0.09019354925010038,-1.3894928890433387,0.0
1,1.2670609088529092,-0.5495826814976915,2.064684772623661,0.059610368227813466,-1.5499175280224438,0.0
2,1.3224602088913828,-0.5504593588286332,2.062067507963219,0.059201138374327465,-1.5683379676131421,0.0
3,1.3783393397432748,-0.5502746962817829,2.056562404671881,0.06388848253665345,-1.5704686438824926,0.0
4,1.4343231008898614,-0.5498053113290545,2.048625348232252,0.07104401105013743,-1.5707343409434844,0.0
5,1.4900611869317768,-0.5490832716346202,2.0383447171950158,0.0803277054534757,-1.5707899247578887,0.0
6,1.5452246578861386,-0.5480624390877147,2.025783557913467,0.0916041441815656,-1.5708250850007799,0.0
7,1.5995137330396427,-0.5466844199362186,2.0110095218379014,0.10474554302257699,-1.5708613522256067,0.0
8,1.6526650393602544,-0.544887565288199,1.9940952194479789,0.1196178495906322,-1.5709009196179322,0.0
9,1.7044561676598073,-0.5426101527375247,1.975115773613035,0.13608421394685125,-1.5709437323867033,0.0
10,1.754707470365016,-0.5397925428492341,1.9541462828731395,0.15400952002245907,-1.5709894628596344,0.0
11,1.8032814648522606,-0.5363787104806818,1.9312595337248315,0.17326424693578238,-1.5710377502167334,0.0
12,1.8500803715499732,-0.5323171916410616,1.9065240284008638,0.1937274542521953,-1.5710882386725982,0.0
13,1.8950423612187355,-0.5275614990265651,1.8800023327420823,0.21528891457367882,-1.5711405900486972,0.0
14,1.938139072352348,-0.5220694775216814,1.851748177807369,0.23785270181019105,-1.5711908894937325,0.0
15,1.9794011220731256,-0.5157905837581058,1.8217783410858013,0.2613762508908868,-1.5711751911033658,0.0
16,2.0188539948949513,-0.5086779896591945,1.790111253696617,0.28581593232670205,-1.5710665049798287,0.0
17,2.056526812274513,-0.5006919730795452,1.7567651646135056,0.3111250120870426,-1.5708666817051091,0.0
18,2.0924624830812637,-0.49179574416635263,1.721747831232572,0.3372669663599705,-1.570581084855033,0.0
